GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sm-shop,com.salesmanager.shop.utils,MerchantUtils,46,0,4,0,13,0,5,0,3,0
sm-shop,com.salesmanager.shop.utils,AppConfiguration,20,7,2,0,7,2,4,2,3,2
sm-shop,com.salesmanager.shop.utils,AdminAccessDeniedHandler,21,0,0,0,7,0,4,0,4,0
sm-shop,com.salesmanager.shop.utils,UserUtils,26,0,4,0,7,0,4,0,2,0
sm-shop,com.salesmanager.shop.utils,GeoLocationUtils,12,73,5,3,2,5,4,3,1,2
sm-shop,com.salesmanager.shop.utils,TokenizeTool,35,0,0,0,12,0,2,0,2,0
sm-shop,com.salesmanager.shop.utils,CaptchaRequestUtils,119,3,6,0,26,1,4,1,1,1
sm-shop,com.salesmanager.shop.utils,FieldMatchValidator,54,0,8,0,12,0,8,0,4,0
sm-shop,com.salesmanager.shop.utils,AuthorizationUtils,45,3,6,0,10,1,5,1,2,1
sm-shop,com.salesmanager.shop.utils,LanguageUtils,156,63,27,5,47,20,17,3,1,3
sm-shop,com.salesmanager.shop.utils,FilePathUtils,230,8,24,0,51,2,33,1,21,1
sm-shop,com.salesmanager.shop.utils,SessionUtil,19,0,0,0,6,0,4,0,4,0
sm-shop,com.salesmanager.shop.utils,EmailTemplatesUtils,1443,7,38,0,234,2,25,2,6,2
sm-shop,com.salesmanager.shop.utils,CloudFilePathUtils,83,9,8,0,16,3,10,1,6,1
sm-shop,com.salesmanager.shop.utils,DateUtil,210,37,17,5,53,9,23,4,12,4
sm-shop,com.salesmanager.shop.store.controller.system,MerchantConfigurationFacadeImpl,137,7,2,0,32,3,5,2,4,2
sm-shop,com.salesmanager.shop.mapper.catalog.product,PersistableProductVariantGroupMapper,91,3,6,0,23,1,6,1,3,1
sm-shop,com.salesmanager.shop.mapper.catalog.product,ReadableProductMapper,859,546,147,41,205,128,104,7,11,6
sm-shop,com.salesmanager.shop.mapper.catalog.product,ReadableProductDefinitionMapper,422,3,52,0,98,1,31,1,5,1
sm-shop,com.salesmanager.shop.mapper.catalog.product,PersistableProductAvailabilityMapper,42,116,8,6,7,29,7,4,1,3
sm-shop,com.salesmanager.shop.mapper.catalog.product,PersistableProductMapper,277,282,41,23,51,65,35,4,5,2
sm-shop,com.salesmanager.shop.mapper.catalog.product,PersistableProductDefinitionMapper,223,377,45,31,46,92,36,5,1,2
sm-shop,com.salesmanager.shop.mapper.catalog.product,ReadableProductVariantMapper,202,3,12,0,39,1,12,1,6,1
sm-shop,com.salesmanager.shop.mapper.catalog.product,ReadableProductVariantGroupMapper,138,3,4,0,28,1,8,1,6,1
